system,brand,series,code,name,romanianName,previewHex,finish,usageScope,translucent,active,source,notes
RAL,,,6013,Reed green,,#6C7156,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6014,Yellow olive,,#47402E,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6015,Black olive,,#3B3C36,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6016,Turquoise green,,#1E5945,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6017,May green,,#4C9141,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6018,Yellow green,,#57A639,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6019,Pastel green,,#BDECB6,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6020,Chrome green,,#2E3A23,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6021,Pale green,,#89AC76,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6022,Olive drab,,#25221B,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6024,Traffic green,,#308446,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6025,Fern green,,#3D642D,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6026,Opal green,,#015D52,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6027,Light green,,#84C3BE,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6028,Pine green,,#2C5545,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6029,Mint green,,#20603D,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6032,Signal green,,#317F43,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6033,Mint turquoise,,#497E76,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6034,Pastel turquoise,,#7FB5B5,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6035,Pearl green,,#1C542D,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6036,Pearl opal green,,#193737,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6037,Pure green,,#008F39,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6038,Luminous green,,#00BB2D,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7000,Squirrel grey,,#78858B,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7001,Silver grey,,#8A9597,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7002,Olive grey,,#7E7B52,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7003,Moss grey,,#6C7059,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7004,Signal grey,,#969992,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7005,Mouse grey,,#646B63,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7006,Beige grey,,#6D6552,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7008,Khaki grey,,#6A5F31,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7009,Green grey,,#4D5645,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7010,Tarpaulin grey,,#4C514A,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7011,Iron grey,,#434B4D,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7012,Basalt grey,,#4E5754,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7013,Brown grey,,#464531,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7015,Slate grey,,#434750,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7016,Anthracite grey,,#293133,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7021,Black grey,,#23282B,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7022,Umbra grey,,#332F2C,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7023,Concrete grey,,#686C5E,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7024,Graphite grey,,#474A51,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,7026,Granite grey,,#2F353B,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
